go_id	name	namespace	tax_id	taxon_name	rank	NS_mean	WS_mean	X730NS	X730WS	X733NS	X733WS	X734NS	X734WS	X737NS	X737WS	X760NS	X760WS	X769NS	X769WS	X781NS	X781WS	X795NS	X795WS	X852NS	X852WS	X861NS	X861WS	X866NS	X866WS	X867NS	X867WS	X730NS_n_peptide	X730WS_n_peptide	X733NS_n_peptide	X733WS_n_peptide	X734NS_n_peptide	X734WS_n_peptide	X737NS_n_peptide	X737WS_n_peptide	X760NS_n_peptide	X760WS_n_peptide	X769NS_n_peptide	X769WS_n_peptide	X781NS_n_peptide	X781WS_n_peptide	X795NS_n_peptide	X795WS_n_peptide	X852NS_n_peptide	X852WS_n_peptide	X861NS_n_peptide	X861WS_n_peptide	X866NS_n_peptide	X866WS_n_peptide	X867NS_n_peptide	X867WS_n_peptide
GO:0000015	phosphopyruvate hydratase complex	cellular_component	1300	Streptococcaceae	family	23.049346203123946	24.605871766188503	21.40339428023099	23.41600665976551	25.970775914443735	26.46791738440726	22.90013553359513	25.33863647970051	21.00251998619309	24.1392316751826	18.387678518536006	23.09523322274087	20.210159360407122	23.92834683861967	22.518329979543548	24.38319323041912	21.20972172003632	24.921212490951905	20.500748152390784	23.89703685003818	23.253494030118553	24.754949722502328	20.738004257591054	22.129701555571362	21.241563591186928	23.777318021846884	6.0	5.0	18.0	17.0	3.0	7.0	6.0	8.0	2.0	4.0	5.0	6.0	4.0	5.0	4.0	11.0	4.0	5.0	18.0	19.0	4.0	6.0	6.0	9.0
GO:0000015	phosphopyruvate hydratase complex	cellular_component	31977	Veillonellaceae	family	21.699703564225512	21.72426362576076	19.97198689831954	14.011677886476939	0.0	0.0	21.749690539808434	22.20059610369539	21.633268728001852	23.276395253099643	20.839757017121833	22.090729212529553	21.5407482575317	20.13794165725569	21.806144597424122	20.695220020821452	22.898089646671025	22.165034565684145	21.427546428197697	21.101425846918378	22.152355064323192	20.590109349995327	22.247422827576656	20.307506359330684	21.99996748298256	23.169146492276987	2.0	1.0	0.0	0.0	7.0	12.0	11.0	12.0	4.0	4.0	2.0	2.0	7.0	8.0	9.0	12.0	6.0	7.0	9.0	8.0	7.0	5.0	8.0	10.0
GO:0000015	phosphopyruvate hydratase complex	cellular_component	186828	Carnobacteriaceae	family	21.36393585938216	20.80965249183995	19.853648044829352	17.12127301034823	23.847909760868873	20.15133021514124	17.302806788669013	19.36860964382739	20.26073983746505	21.99034456066037	18.38674009405629	19.268828313362945	0.0	0.0	22.38151609838384	21.839180751995524	16.95451057738741	16.476171821024412	20.282234963858322	20.405987100427293	22.042510908361283	19.412542086393014	21.189306428963413	22.832403688135024	19.93579738306925	20.837952589158792	4.0	2.0	8.0	8.0	2.0	5.0	5.0	8.0	3.0	3.0	0.0	0.0	5.0	5.0	2.0	1.0	5.0	6.0	7.0	7.0	6.0	7.0	5.0	5.0
GO:0000015	phosphopyruvate hydratase complex	cellular_component	203492	Fusobacteriaceae	family	26.103937841754345	20.67021001220713	13.7413046602582	0.0	0.0	0.0	26.74698909651727	18.54925484889031	26.528018364195148	18.242400446053065	26.994749685323097	19.66825818164661	26.062271994458012	18.671281003692986	27.259944807585683	19.497423904076513	26.474138432185335	17.221194379283954	24.252780719610662	23.95257720987775	17.31999912719865	11.790253152894714	24.369369374056678	17.209176203594104	27.221529624844862	19.60280174168327	1.0	0.0	0.0	0.0	15.0	7.0	17.0	8.0	14.0	11.0	12.0	7.0	18.0	11.0	12.0	3.0	13.0	12.0	2.0	1.0	13.0	3.0	16.0	10.0
GO:0000160	phosphorelay signal transduction system	biological_process	712	Pasteurellaceae	family	21.4610333179366	20.409399215976237	16.5136896108342	0.0	0.0	0.0	20.62690888386729	14.695883349096704	18.406937659736194	17.277432091879422	22.572362479604944	22.733200870568094	22.223344393150576	21.200189623370875	18.005466739062353	0.0	21.184278654288427	21.081370180860176	0.0	0.0	23.34091735537105	20.35965767477055	21.13800183595073	18.85668407582707	22.484765406226803	21.566523457268616	1.0	0.0	0.0	0.0	6.0	1.0	2.0	3.0	9.0	9.0	12.0	3.0	2.0	0.0	8.0	1.0	0.0	0.0	11.0	8.0	6.0	3.0	14.0	14.0
GO:0000160	phosphorelay signal transduction system	biological_process	1300	Streptococcaceae	family	21.768979511741552	23.485794368299594	23.79319191655611	22.61985201272293	22.716785450208878	23.949470602597852	17.00378568832393	22.974759733704218	18.357591284989415	21.881165695113182	20.132848538602275	23.523034818824726	21.015033064774798	23.526539894731172	21.34994791517504	24.978568494235788	22.787476863713213	23.257106991945797	20.79466526034471	23.370716759406672	21.76135168274651	22.339127990858472	19.446941529427022	24.09008665518137	20.71152717316848	22.247885314485814	31.0	26.0	48.0	47.0	5.0	20.0	7.0	11.0	16.0	24.0	30.0	35.0	32.0	56.0	14.0	30.0	28.0	32.0	15.0	18.0	10.0	32.0	15.0	22.0
GO:0000160	phosphorelay signal transduction system	biological_process	31977	Veillonellaceae	family	21.110498687271818	21.807102940377806	20.155773280145947	0.0	0.0	0.0	20.083061990658823	22.620797957913776	21.679723462377858	23.195999319518666	19.888658783140663	22.29515802721765	21.92473112587637	21.54510162372631	20.079350262635593	21.24002208546048	22.35768837410232	22.147042779157086	22.04593926901137	21.57289502384964	21.407270477378344	21.103940187379727	20.82597721531076	20.186449313813593	20.103753745906857	22.535483032230946	3.0	0.0	0.0	0.0	7.0	11.0	11.0	13.0	3.0	5.0	5.0	5.0	7.0	8.0	11.0	12.0	6.0	6.0	7.0	8.0	4.0	3.0	6.0	11.0
GO:0000160	phosphorelay signal transduction system	biological_process	186828	Carnobacteriaceae	family	21.38804702987513	20.094339334700926	22.798016969225067	19.651237426828025	23.037352354961953	19.39631000455275	19.287933752372503	17.114289752322964	18.037084905596785	18.587975605711712	19.125727399120997	19.975619920825263	20.084867454043636	19.061091009804255	20.453064563835557	19.464434184362048	15.921918770672322	0.0	22.300666174464478	21.058824498051425	21.569610114194575	18.38262723577237	21.080683086081084	22.184886597492362	21.220867645281324	20.77033946100541	14.0	9.0	16.0	11.0	5.0	4.0	2.0	2.0	4.0	4.0	4.0	4.0	5.0	5.0	1.0	0.0	13.0	13.0	6.0	7.0	14.0	13.0	9.0	10.0
GO:0000160	phosphorelay signal transduction system	biological_process	203492	Fusobacteriaceae	family	24.799624721933853	20.436441261373762	0.0	0.0	0.0	0.0	25.10683689156796	20.934473662965146	26.430648905198737	20.209650680717186	25.41476974426505	19.31406161713622	24.90725629982464	18.113576442266567	25.208169145678745	20.195421760024168	24.551987471872746	17.334660182186155	22.924538424612003	23.309391736046397	0.0	0.0	23.894049376191106	19.133894796429576	25.85630297346809	19.04170414212042	0.0	0.0	0.0	0.0	37.0	8.0	54.0	14.0	44.0	17.0	38.0	7.0	42.0	17.0	24.0	5.0	21.0	19.0	0.0	0.0	31.0	13.0	45.0	16.0
GO:0000166	nucleotide binding	molecular_function	712	Pasteurellaceae	family	26.44546999535089	23.303983227220925	23.704010350333125	15.72197616134375	0.0	0.0	26.45282481813284	21.20165047117379	24.683153202693887	22.240305382375556	27.24330379865044	25.59729479461678	27.627240618298075	20.80414389022909	24.99535571161581	18.392488072781187	26.33667123221093	19.08682221568816	0.0	0.0	27.806220462898334	21.953216270540636	26.75915709351369	21.798983601026265	26.970659147229142	25.729841423681478	24.0	3.0	0.0	0.0	104.0	33.0	54.0	35.0	155.0	146.0	150.0	34.0	38.0	10.0	84.0	15.0	0.0	0.0	182.0	66.0	166.0	49.0	166.0	137.0
