id	taxon_name	rank	g1_mean	abund	abund_n_peptide	abund_n_samp_children
286	Pseudomonas	genus	11.328001662149257	11.328001662149257	4	3.0
294	Pseudomonas fluorescens	species	9.328001662149257	9.328001662149257	1	NA
535	Chromobacterium	genus	9.328001662149257	9.328001662149257	1	1.0
536	Chromobacterium violaceum	species	9.328001662149257	9.328001662149257	1	NA
1224	Proteobacteria	phylum	11.912964162870413	11.912964162870413	6	3.0
1236	Gammaproteobacteria	class	11.328001662149257	11.328001662149257	4	1.0
1239	Firmicutes	phylum	10.328001662149257	10.328001662149257	2	1.0
1279	Staphylococcus	genus	10.328001662149257	10.328001662149257	2	1.0
1280	Staphylococcus aureus	species	10.328001662149257	10.328001662149257	2	NA
1385	Bacillales	order	10.328001662149257	10.328001662149257	2	1.0
2433	Roseobacter	genus	9.328001662149257	9.328001662149257	1	NA
3041	Chlorophyta	phylum	9.328001662149257	9.328001662149257	1	1.0
3042	Chlamydomonadales	order	9.328001662149257	9.328001662149257	1	1.0
3051	Chlamydomonadaceae	family	9.328001662149257	9.328001662149257	1	1.0
3052	Chlamydomonas	genus	9.328001662149257	9.328001662149257	1	1.0
3055	Chlamydomonas reinhardtii	species	9.328001662149257	9.328001662149257	1	NA
3166	Chlorophyceae	class	9.328001662149257	9.328001662149257	1	1.0
10744	Podoviridae	family	5.954196310386875	5.954196310386875	1	1.0
10754	Salmonella virus P22	species	5.954196310386875	5.954196310386875	1	NA
10860	Inoviridae	family	5.954196310386875	5.954196310386875	1	1.0
10861	Inovirus	genus	5.954196310386875	5.954196310386875	1	1.0
11989	Leviviridae	family	5.954196310386875	5.954196310386875	1	1.0
11990	Levivirus	genus	5.954196310386875	5.954196310386875	1	1.0
28211	Alphaproteobacteria	class	9.328001662149257	9.328001662149257	1	1.0
28216	Betaproteobacteria	class	9.328001662149257	9.328001662149257	1	1.0
28883	Caudovirales	order	5.954196310386875	5.954196310386875	1	1.0
31989	Rhodobacteraceae	family	9.328001662149257	9.328001662149257	1	1.0
72274	Pseudomonadales	order	11.328001662149257	11.328001662149257	4	1.0
90964	Staphylococcaceae	family	10.328001662149257	10.328001662149257	2	1.0
91061	Bacilli	class	10.328001662149257	10.328001662149257	2	1.0
101570	Enterobacteria phage ES18	species	5.954196310386875	5.954196310386875	1	NA
135621	Pseudomonadaceae	family	11.328001662149257	11.328001662149257	4	1.0
186794	P22virus	genus	5.954196310386875	5.954196310386875	1	1.0
204455	Rhodobacterales	order	9.328001662149257	9.328001662149257	1	1.0
206351	Neisseriales	order	9.328001662149257	9.328001662149257	1	1.0
329852	Escherichia virus MS2	species	5.954196310386875	5.954196310386875	1	NA
497726	Nitrososphaera	genus	9.328001662149257	9.328001662149257	1	1.0
651137	Thaumarchaeota	phylum	9.328001662149257	9.328001662149257	1	1.0
1033996	Nitrososphaerales	order	9.328001662149257	9.328001662149257	1	1.0
1033997	Nitrososphaeraceae	family	9.328001662149257	9.328001662149257	1	1.0
1034015	Nitrososphaera viennensis	species	9.328001662149257	9.328001662149257	1	NA
1149133	Pseudomonas furukawaii	species	9.328001662149257	9.328001662149257	1	NA
1294143	Pseudomonas sp. ATCC 13867	species	10.328001662149257	10.328001662149257	2	NA
1499392	Chromobacteriaceae	family	9.328001662149257	9.328001662149257	1	1.0
1643678	Nitrososphaeria	class	9.328001662149257	9.328001662149257	1	1.0
1977402	Escherichia virus M13	species	5.954196310386875	5.954196310386875	1	NA
